Index,Anomaly Type,Instance,Clusters
1,Cluster drift Anomaly,422,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.318, 'acceleration': 0.253}}"
2,Cluster drift Anomaly,541,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.377, 'acceleration': 0.264}}"
3,Cluster drift Anomaly,542,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.501, 'acceleration': 0.167}}"
4,Cluster drift Anomaly,569,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.342, 'acceleration': 0.243}}"
5,Cluster drift Anomaly,607,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.313, 'acceleration': 0.167}}"
6,Cluster drift Anomaly,675,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.357, 'acceleration': 0.25}}"
7,Cluster drift Anomaly,687,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.339, 'acceleration': 0.184}}"
8,Cluster drift Anomaly,701,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.333, 'acceleration': 0.128}}"
9,Cluster drift Anomaly,759,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.373, 'acceleration': 0.205}}"
10,Cluster drift Anomaly,760,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.31, 'acceleration': 0.258}}"
11,Cluster drift Anomaly,779,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.303, 'acceleration': 0.175}}"
12,Cluster drift Anomaly,782,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.339, 'acceleration': 0.265}}"
13,Cluster drift Anomaly,787,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.348, 'acceleration': 0.177}}"
14,Cluster drift Anomaly,790,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.332, 'acceleration': 0.337}}"
15,Cluster drift Anomaly,793,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.37, 'acceleration': 0.25}}"
16,Cluster drift Anomaly,895,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.384, 'acceleration': 0.259}}"
17,Cluster drift Anomaly,1024,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.34, 'acceleration': 0.178}}"
18,Cluster drift Anomaly,1037,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.353, 'acceleration': 0.236}}"
19,Cluster drift Anomaly,1104,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.403, 'acceleration': 0.16}}"
20,Cluster drift Anomaly,1162,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.512, 'acceleration': 0.281}}"
21,Cluster drift Anomaly,1164,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.444, 'acceleration': 0.237}}"
22,Cluster drift Anomaly,1165,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.48, 'acceleration': 0.116}}"
23,Cluster drift Anomaly,1167,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.327, 'acceleration': 0.31}}"
24,Cluster drift Anomaly,1168,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.67, 'acceleration': 0.154}}"
25,Cluster drift Anomaly,1171,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.351, 'acceleration': 0.176}}"
26,Cluster drift Anomaly,1204,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.333, 'acceleration': 0.199}}"
27,Cluster drift Anomaly,1231,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.355, 'acceleration': 0.288}}"
28,Cluster drift Anomaly,1234,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.555, 'acceleration': 0.169}}"
29,Cluster drift Anomaly,1237,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.316, 'acceleration': 0.318}}"
30,Cluster drift Anomaly,1255,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.381, 'acceleration': 0.103}}"
31,Cluster drift Anomaly,1265,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.52, 'acceleration': 0.169}}"
32,Cluster drift Anomaly,1303,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.468, 'acceleration': 0.227}}"
33,Cluster drift Anomaly,1305,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.312, 'acceleration': 0.199}}"
34,Cluster drift Anomaly,1308,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.327, 'acceleration': 0.184}}"
35,Cluster drift Anomaly,1350,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.326, 'acceleration': 0.255}}"
36,Cluster drift Anomaly,1375,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.339, 'acceleration': 0.367}}"
37,Cluster drift Anomaly,1392,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.414, 'acceleration': 0.111}}"
38,Cluster drift Anomaly,1407,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.32, 'acceleration': 0.247}}"
39,Cluster drift Anomaly,1419,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.371, 'acceleration': 0.241}}"
40,Cluster drift Anomaly,1422,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.414, 'acceleration': 0.2}}"
41,Cluster drift Anomaly,1437,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.32, 'acceleration': 0.226}}"
42,Cluster drift Anomaly,1440,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.399, 'acceleration': 0.2}}"
43,Cluster drift Anomaly,1441,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.316, 'acceleration': 0.159}}"
44,Cluster drift Anomaly,1443,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.315, 'acceleration': 0.155}}"
