Index,Anomaly Type,Instance,Clusters
1,Cluster drift Anomaly,542,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.501, 'acceleration': 0.167}}"
2,Cluster drift Anomaly,1162,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.753, 'acceleration': 0.281}}"
3,Cluster drift Anomaly,1165,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.724, 'acceleration': 0.115}}"
4,Cluster drift Anomaly,1168,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.924, 'acceleration': 0.154}}"
5,Cluster drift Anomaly,1171,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.571, 'acceleration': 0.176}}"
6,Cluster drift Anomaly,1204,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.582, 'acceleration': 0.199}}"
7,Cluster drift Anomaly,1231,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.633, 'acceleration': 0.288}}"
8,Cluster drift Anomaly,1234,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.808, 'acceleration': 0.169}}"
9,Cluster drift Anomaly,1237,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.527, 'acceleration': 0.318}}"
10,Cluster drift Anomaly,1252,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.521, 'acceleration': 0.17}}"
11,Cluster drift Anomaly,1255,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.593, 'acceleration': 0.103}}"
12,Cluster drift Anomaly,1265,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.52, 'acceleration': 0.169}}"
13,Cluster drift Anomaly,1303,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.66, 'acceleration': 0.227}}"
14,Cluster drift Anomaly,1375,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.623, 'acceleration': 0.367}}"
15,Cluster drift Anomaly,1392,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.551, 'acceleration': 0.111}}"
16,Cluster drift Anomaly,1419,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.539, 'acceleration': 0.241}}"
17,Cluster drift Anomaly,1422,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.587, 'acceleration': 0.2}}"
18,Cluster drift Anomaly,1440,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.559, 'acceleration': 0.2}}"
19,Cluster drift Anomaly,1446,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.565, 'acceleration': 0.259}}"
20,Cluster drift Anomaly,1449,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.505, 'acceleration': 0.242}}"
21,Cluster drift Anomaly,1450,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.555, 'acceleration': 0.207}}"
22,Cluster drift Anomaly,1452,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.635, 'acceleration': 0.227}}"
23,Cluster drift Anomaly,1455,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.55, 'acceleration': 0.205}}"
24,Cluster drift Anomaly,1458,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.539, 'acceleration': 0.149}}"
25,Cluster drift Anomaly,1464,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.834, 'acceleration': 0.23}}"
26,Cluster drift Anomaly,1467,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.65, 'acceleration': 0.196}}"
27,Cluster drift Anomaly,1482,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.546, 'acceleration': 0.136}}"
28,Cluster drift Anomaly,1504,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.644, 'acceleration': 0.132}}"
29,Cluster drift Anomaly,1507,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.6, 'acceleration': 0.209}}"
30,Cluster drift Anomaly,1510,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.587, 'acceleration': 0.295}}"
31,Cluster drift Anomaly,1513,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.522, 'acceleration': 0.281}}"
32,Cluster drift Anomaly,1519,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.58, 'acceleration': 0.227}}"
33,Cluster drift Anomaly,1560,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.608, 'acceleration': 0.234}}"
34,Cluster drift Anomaly,1563,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.717, 'acceleration': 0.225}}"
35,Cluster drift Anomaly,1566,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.507, 'acceleration': 0.172}}"
36,Cluster drift Anomaly,1602,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.676, 'acceleration': 0.205}}"
37,Cluster drift Anomaly,1618,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.551, 'acceleration': 0.286}}"
38,Cluster drift Anomaly,1621,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 2.025, 'acceleration': 0.256}}"
39,Cluster drift Anomaly,1624,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.615, 'acceleration': 0.323}}"
40,Cluster drift Anomaly,1627,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.691, 'acceleration': 0.227}}"
